,,,,,,,,,
,ID,Date,Category,Subject,Country of Incident,Countries Involved,Species,,
,,47195,21/10/2022,Seizure,94 kg tusks seized in Moatize - 1 arrested,Mozambique,Zimbabwe,Loxodonta africana,
,,39424,01/10/2021 *,Seizure,"2 tusks (4.5 kg) seized in Mecula District, Niassa Province",Mozambique,,Loxodonta africana,
,,39259,01/10/2021,Seizure,"76 kg ivory seized Doldol, Laikipia County - 4 arrested",Kenya,,Loxodonta africana,
,,31723,06/03/2020,Seizure,12 ivory pieces (18 kg) seized in Kapiri Mposhi - 1 charged,Zambia,,Loxodonta africana,
,,22916,21/07/2019,Seizure,11.9 tonnes pangolin scales & 8.8 tonnes elephant ivory seized in Singapore - 12 arrested,Singapore,3 countries,2 species,
,,18382,20/01/2019,Animal Injury / Mortality / Welfare,Dead Olarro Elephants 'May Have Been Poisoned' at Farms in Kenya,"Tanzania, United Republic of",Kenya,Loxodonta africana,
,,17145,23/10/2018,Poaching / Illegal Harvesting,One stray elephant from Kruger National Park killed by local community at Malalulele,South Africa,,Loxodonta africana,
,,28959,01/08/2018 *,Seizure,300 specimens of Elephant blood plasma seized,United Kingdom of Great Britain and Northern Ireland,South Africa,Loxodonta africana,
,,28952,01/08/2018 *,Seizure,98 pieces (20 kg) of ivory carvings seized,Belgium,"Congo, Democratic Republic of The",Loxodonta africana,
,,25024,27/06/2018,Seizure,"2 elephant tusks (17 kg) seized at Mhangaza village, Namtumbo disrict - 2 charged","Tanzania, United Republic of",,Loxodonta africana,
,,25005,02/05/2018,Seizure,"1 elephant tail seized in Wenje, Tunduru District - 1 charged","Tanzania, United Republic of",,Loxodonta africana,
,,16193,24/02/2018,Poaching / Illegal Harvesting,"104 vultures poisoned in Mbashene, Moamba District, Maputo - 1 arrested",Mozambique,,4 species,
,,12906,14/02/2018,Seizure,"4 elephant tusks (5 kg) seized in Mwanjelwa, Mbozi District, Mbeya - 3 arrested","Tanzania, United Republic of",,Loxodonta africana,
,,29030,2018,Seizure,"4 ivory pieces (5 kg) seized in Murera, Meru County - 3 convicted",Kenya,,Loxodonta africana,
,,15554,14/12/2017,Seizure,Unlawful Possession of Government tropy,"Tanzania, United Republic of",,Loxodonta africana,
,,15557,30/11/2017,Seizure,Unlawful Possession of Government Trophy,"Tanzania, United Republic of",,Loxodonta africana,
,,15661,28/10/2017,Seizure,Sospeter Yusuf was arrested after being found in unlawfull possession of government trophy,"Tanzania, United Republic of",,Loxodonta africana,
,,10848,17/10/2017,Seizure,"8 tusks seized on highway N14, Olifantshoek - 4 arrested",South Africa,,Loxodonta africana,
,,10845,12/10/2017,Seizure,"6 elephants tusks seized in Makueni - 3 arrested, 2 absconding",Kenya,,Loxodonta africana,
,,15603,26/09/2017,Seizure,"2 Pieces of Elephant Skin Seized in Singida Region, Tanzania.","Tanzania, United Republic of",,Loxodonta africana,
,,15598,22/09/2017,Seizure,"Unlawful possesion of Government Trophy, elephant tusks.","Tanzania, United Republic of",,Loxodonta africana,
,,15657,17/09/2017,Seizure,Simon Ndoni and Keneth Bahati were found with unlawfu possession of government trophy,"Tanzania, United Republic of",,Loxodonta africana,
,,10005,17/08/2017,Seizure,"10 rhino horns, 2 tusks and weapons in Sandringham Game Reserve - 1 convicted",South Africa,,2 species,
