Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1990,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,ZM,,17,,ivory carvings,,P,
1990,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CD,XX,4,,ivory carvings,,,I
1990,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,KE,XX,1,,ivory carvings,,,I
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AG,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AO,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,,1,ivory carvings,sets,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZA,,,2,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZW,,,6,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,BW,,,8,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZA,ZW,,3,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZA,,1,,ivory carvings,pairs,P,O
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZA,,4,,ivory carvings,,P,O
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZA,,,18,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZW,,,1,ivory carvings,sets,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,ZW,,,43,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,ZW,,,9,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BG,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BR,ZW,,,2,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BW,ZA,,,43,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BW,ZW,,,6,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,BW,,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZA,,,4,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZA,,,1,ivory carvings,,T,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZW,,,4,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,CM,,4,,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,ZA,,,2,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,ZW,,,3,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CY,ZW,,,5,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZA,XX,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZA,,,6,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZA,,,1,ivory carvings,,T,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,,1,ivory carvings,sets,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,,21,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,ZW,,,23,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,EG,ZW,,,3,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ES,ZW,,,27,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ET,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FI,ZW,,,6,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CD,,46,,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,CM,,66,,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZA,,,6,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZA,,,2,ivory carvings,,T,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZW,,28,35,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,BW,,12,,ivory carvings,kg,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,KE,XX,13,,ivory carvings,kg,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,MW,,1,,ivory carvings,kg,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,BW,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,XX,9,,ivory carvings,,T,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,,4.2,,ivory carvings,kg,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,,,10,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZW,,,1,ivory carvings,sets,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZW,,,62,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GR,ZA,,,3,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GR,ZW,,,5,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ID,ZW,,,3,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IE,ZW,,,3,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IN,ZW,,,3,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IS,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,BW,,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,CD,,7,,ivory carvings,kg,P,O
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,ZA,,,6,ivory carvings,,T,
